"y" "X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10"
"1" -1.0237 -0.0155 -0.0712 0.0149 -0.0295 -0.0099 0.0333 -0.0229 0.0304 -0.046 0.0803
"2" 1.297 -0.0125 0.0639 -0.0107 -0.0971 0.0411 -0.086 -0.0564 0.0372 9e-04 0.0157
"3" 0.4956 -0.0456 0.0769 0.0203 -0.0815 0.0371 -0.0674 0.0235 0.0466 -0.0266 -0.0747
"4" -0.3716 -0.0059 0.1461 -0.0827 -0.0862 0.0644 -0.0919 -0.0413 0.0391 0.014 -0.0793
"5" -0.123 -0.0265 -0.0046 -4e-04 -0.1009 0.0411 0.0236 -0.1192 -0.0101 -0.0218 0.0541
"6" -0.0442 0.002 0.1202 -0.0664 -0.1912 0.1094 0.0444 -0.1474 -0.0061 -0.0599 0.048
"7" -0.5109 -0.1216 -0.0672 0.0577 -0.0256 -0.0315 -0.0315 -0.0407 -0.0377 -0.0185 0.0072
"8" -0.8782 -0.1061 -0.1078 0.0212 0.0055 -0.0612 -0.0763 0.0788 -0.0057 0.0125 -0.0214
"9" 0.7729 0.0361 0.0756 -0.0692 0.1173 -0.0133 0.0176 0.01 -0.0234 0.039 -0.0205
"10" -0.2646 0.0134 0.1175 -0.0472 0.0235 0.0439 0.0378 0.0939 -0.0021 -0.0418 -0.1372
"11" -0.4542 0.0556 0.0665 -0.0891 0.1474 -0.035 -0.0556 0.0833 -0.0018 0.0661 -0.0571
"12" 1.3141 0.1008 -0.046 -0.0625 -0.0308 0.0245 -0.0096 -0.0112 0.0222 0.0483 0.0502
"13" 0.5381 -0.1157 -0.0293 0.1206 -0.15 0.0095 -0.0171 -0.029 -0.0286 -0.0359 -0.0272
"14" -1.0436 -0.0568 -0.0503 -0.0056 0.0444 -0.0317 0.0119 0.0353 0.023 -0.0656 -0.0022
"15" 0.7044 -0.137 0.1411 0.0293 0.1859 -0.1121 -0.1825 0.263 0.0107 0.004 -0.1494
"16" 0.7769 -0.1197 -0.0249 0.0108 -0.0058 -0.039 -0.1177 -0.036 -0.0104 0.0477 -0.034
"17" 0.1172 0.106 -0.0622 -0.0452 0.1084 -0.0394 -0.0169 0.0601 -0.0365 0.1116 0.0248
"18" 0.964 7e-04 0.0294 0.0079 -0.0575 0.0348 0.0337 0.0226 0.0215 -0.0768 0.013
"19" -0.8597 -0.1148 0.1847 0.0096 0.0413 -0.0174 -0.1154 0.1413 0.0558 -0.0771 -0.1579
"20" 0.3781 0.0512 0.0139 -0.0316 0.1825 -0.07 -0.0472 0.1775 0.007 0.0548 -0.0619
"21" 0.2808 0.013 -0.0274 0.0582 -0.1385 0.0319 -0.0617 -0.0711 0.0438 0.0198 0.0789
"22" -1.1923 -0.0926 0.0052 0.1045 -0.0391 -0.0183 0.0087 0.0124 0.0111 -0.0722 -0.0207
"23" -2.303 -0.1311 0.0995 0.0283 -0.2161 0.0756 -0.1234 -0.1094 0.0308 -0.0447 -0.0439
"24" -0.1784 -0.0853 -0.048 0.0041 0.0576 -0.0617 -0.0399 -0.007 -0.0252 0.0194 0.0022
"25" -1.215 -0.0751 -0.1107 0.0138 -0.0113 -0.0342 -0.1134 -0.0519 0.0137 0.076 -0.0098
"26" -0.4054 0.0414 0.1363 -0.0479 0.0792 -0.0156 0.0094 0.1313 0.0494 -0.0244 -0.0381
"27" 0.7838 -0.1058 -0.0195 -0.0082 -0.0105 -0.0254 -0.0921 -0.0304 -0.0233 0.0345 -0.0238
"28" 1.8485 0.1492 -0.1379 0.0045 0.0136 0.0022 0.105 -0.017 -0.0241 0.0589 0.0875
"29" -0.2585 0.1671 -0.0739 -0.0832 0.2677 -0.0935 -0.0114 0.1718 -0.0043 0.1318 0.0029
"30" 0.1085 -0.0689 1e-04 0.0582 0.0017 -0.0213 -0.0074 0.0013 -0.0227 -0.0168 -0.0334
"31" 0.7841 -0.0695 0.0099 -1e-04 0.0832 -0.0511 -0.0513 0.0925 -0.0614 0.0423 -0.1138
"32" -0.5389 8e-04 0.1128 -0.0528 0.0154 0.041 -0.0064 0.0249 0.0117 -0.073 -0.0171
"33" -0.1274 0.0095 -0.016 -0.0449 0.0489 -0.023 -0.0159 0.0222 -0.0171 0.0466 -0.0349
"34" -0.7594 -0.1555 -0.1047 0.1158 -0.0899 -0.0127 -0.0022 -0.0393 -0.0255 -0.0675 -0.0199
"35" 0.0292 -0.0074 0.1271 -0.0336 -0.0371 0.0452 0.0221 0.0485 0.0201 -0.0635 -0.0498
"36" -2.0607 -0.0572 -0.0054 0.1028 -0.0771 -0.004 -0.0015 0.0377 0.0181 -0.0572 -0.0167
"37" 0.8854 0.1407 -0.0962 0.0119 0.0837 0.0035 0.0848 0.0265 -0.0346 0.0025 0.0476
"38" -1.8827 -0.1281 0.0757 0.0841 -0.0045 -0.0117 -0.0492 0.0568 0.0209 -0.0809 -0.0887
"39" 2.1067 0.0507 -0.0696 -0.0409 0.1137 -0.0378 0.0353 0.0137 -0.0605 0.0697 -0.0163
"40" 2.1039 -0.0285 -0.105 0.0438 0.034 -0.0362 -0.0012 -0.0187 -0.0176 0.0077 0.0583
"41" -0.7535 -0.1689 0.154 0.0864 -0.0073 -0.0243 -0.0993 0.094 0.0525 -0.1156 -0.0989
"42" 1.2366 0.0899 -0.0798 0.0062 0.0795 -0.0352 0.0268 0.0359 0.0173 0.0297 0.0789
"43" 2.2019 -0.0202 0.0155 -0.0481 -0.0666 0.0234 -0.041 -0.0988 0.0015 0.0382 0.0104
"44" 0.2203 -0.0171 0.0891 0.0267 -0.2276 0.103 0.018 -0.1705 0.0028 -0.0856 0.0653
"45" 0.457 -0.0278 0.0156 0.0484 0.1142 -0.0654 -0.0375 0.0889 0.0159 0.0156 -0.0406
"46" 1.7397 0.0614 0.086 -0.0461 0.0133 0.0313 0.0498 -0.0901 0.0037 -0.004 0.0454
"47" -0.9485 0.021 -0.0699 0.0063 0.0164 0.0089 -0.004 -0.0684 -0.0526 0.0544 0.0031
"48" -0.8061 -0.1173 -8e-04 0.1179 -0.1038 -0.0032 0.0317 0.0416 0.0234 -0.1183 -0.0183
"49" -0.5846 -0.1555 0.032 0.0296 -0.0776 0.0185 -0.1363 -0.0565 -0.0061 -0.057 -0.0575
"50" -0.6323 -0.0438 -0.0907 0.003 -0.1346 0.0372 0.0022 -0.1344 -0.0222 -0.0267 0.0789
"51" -0.2888 0.0359 -0.1205 0.0918 0.1158 -0.0738 0.0571 0.1318 -0.0569 0.0038 -0.0039
"52" -0.2594 -0.064 -0.0788 0.0531 0.1035 -0.0752 0.0092 0.1059 -0.008 1e-04 -0.0915
"53" 1.2459 0.0451 0.0363 -0.0502 0.0303 0.0103 -0.0085 0.0514 0.012 0.0201 -0.0317
"54" -0.7228 0.0159 0.1303 0.0437 0.0028 0.018 0.038 0.0704 0.0128 -0.0327 -0.0559
"55" 0.0284 0.1462 -0.1654 -0.0419 0.2007 -0.0734 0.0454 0.0651 -0.0362 0.1158 0.0342
"56" -0.112 -0.0518 -0.0477 0.0184 0.1009 -0.0917 -0.1732 0.1514 0.0345 0.0829 -0.0927
"57" -0.999 0.0912 0.0101 -0.0081 -0.106 0.0622 0.0252 -0.0649 0.016 0.0113 0.0607
"58" 0.1168 -0.0549 0.0991 0.0127 -0.0473 0.0396 0.0463 3e-04 0.0028 -0.0621 -0.0835
"59" 0.9505 0.1031 -0.0072 -0.0396 -0.0607 0.0523 0.152 -0.0246 0.0241 -0.0617 0.0769
"60" -0.8759 0.0522 -0.0177 -0.0255 0.0411 0.0012 0.0744 -0.0715 -0.035 0.0493 0.0426
"61" 0.4869 0.0043 -0.0607 0.0565 -0.1172 0.0466 0.0852 -0.1175 -0.0347 -0.0347 0.0728
"62" 2.4104 -0.0101 -0.0284 0.0354 -0.0766 0.0088 0.0351 -0.0457 -0.0089 -0.0252 0.0602
"63" -0.4506 -0.1342 -0.0589 0.0295 -0.0441 -0.0209 -0.0735 -0.0393 -0.0116 -0.0091 -0.0319
"64" -1.7145 -0.2061 -0.0301 0.1041 -0.0774 -0.0322 -0.0752 -0.0189 -0.0359 -0.0206 -0.0684
"65" -1.206 -0.16 0.0949 0.0317 -0.3213 0.0908 -0.0797 -0.1759 0.0156 -0.0381 0.006
"66" 0.2046 -0.0596 -0.0457 -0.0222 0.0796 -0.0438 -0.0513 -0.0613 -0.0094 0.049 -0.0179
"67" 1.4801 0.0684 0.0923 -0.0161 0.1098 -0.0226 0.0102 0.1813 -0.0068 0.0122 -0.0642
"68" 0.1961 -0.0331 -0.0694 -0.0236 -0.0368 0.004 -0.0435 -0.0942 -0.0048 0.0481 0.0189
"69" -0.2915 0.0081 0.0231 -0.0547 -0.1017 0.0415 -0.0511 -0.0619 3e-04 0.0359 0.0019
"70" 1.5603 0.1254 0.0048 -0.0804 0.2536 -0.0743 -0.0119 0.1231 0.0072 0.1036 -0.0069
"71" -0.4363 -0.1246 0.1822 0.0529 -0.288 0.1097 -0.0726 -0.0754 0.0743 -0.1137 -0.0746
"72" -1.7874 -0.0518 -0.0214 -0.064 0.1184 -0.0458 -0.0997 0.0583 -0.0139 0.0667 -0.0917
"73" -0.3263 0.1496 -0.002 -0.0606 6e-04 0.0428 0.033 -0.0442 -0.0076 0.0494 0.0681
"74" 0.0388 0.0039 -0.0617 0.0899 0.0181 -0.0285 0.0662 0.0417 -0.0194 -0.0196 0.0051
